1	2		4						10													23	24	25	26	27	28	29	30	31	32								※予算流用があった際はこの表を直接編集（編集後は赤字）					
転記コード	年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率							
R6	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	00	00	00	00	00	00	00	00	土木費									561,632,000													
R6	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	00	00	00	00	00	00	00	土木費	土木管理費								8,222,000													
R6	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	00	00	00	00	00	00	土木費	土木管理費	土木総務費							8,222,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	00	00	00	土木費	土木管理費	土木総務費	土木一般経費						8,222,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	01	00	00	土木費	土木管理費	土木総務費	土木一般経費			報酬			2,190,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	01	11	00	土木費	土木管理費	土木総務費	土木一般経費			報酬	会計年度任用職員報酬		2,190,000													
R6土木一般経費会計年度任用職員報酬	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	01	11	01	土木費	土木管理費	土木総務費	土木一般経費			報酬	会計年度任用職員報酬	会計年度任用職員報酬	2,190,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	03	00	00	土木費	土木管理費	土木総務費	土木一般経費			職員手当等			841,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	03	30	00	土木費	土木管理費	土木総務費	土木一般経費			職員手当等	期末手当		457,000													
R6土木一般経費期末手当	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	03	30	01	土木費	土木管理費	土木総務費	土木一般経費			職員手当等	期末手当	期末手当	457,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	03	31	00	土木費	土木管理費	土木総務費	土木一般経費			職員手当等	勤勉手当		384,000													
R6土木一般経費勤勉手当	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	03	31	01	土木費	土木管理費	土木総務費	土木一般経費			職員手当等	勤勉手当	勤勉手当	384,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	04	00	00	土木費	土木管理費	土木総務費	土木一般経費			共済費			488,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	04	03	00	土木費	土木管理費	土木総務費	土木一般経費			共済費	共済組合等負担金		150,000													
R6土木一般経費共済組合等負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	04	03	01	土木費	土木管理費	土木総務費	土木一般経費			共済費	共済組合等負担金	共済組合等負担金	150,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	04	04	00	土木費	土木管理費	土木総務費	土木一般経費			共済費	労働保険料等		338,000													
R6土木一般経費労働保険料等	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	04	04	01	土木費	土木管理費	土木総務費	土木一般経費			共済費	労働保険料等	労働保険料等	338,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	08	00	00	土木費	土木管理費	土木総務費	土木一般経費			旅費			841,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	08	01	00	土木費	土木管理費	土木総務費	土木一般経費			旅費	費用弁償		48,000													
R6土木一般経費費用弁償	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	08	01	01	土木費	土木管理費	土木総務費	土木一般経費			旅費	費用弁償	費用弁償	48,000													
