1	=A1+1	=B1+1	=C1+1	=D1+1	=E1+1	=F1+1	=G1+1	=H1+1	=I1+1	=J1+1	=K1+1	=L1+1	=M1+1	=N1+1	=O1+1	=P1+1	=Q1+1	=R1+1	=S1+1	=T1+1	=U1+1	=V1+1	=W1+1	=X1+1	=Y1+1	=Z1+1	=AA1+1	=AB1+1	=AC1+1	=AD1+1	=AE1+1	=AF1+1	=AG1+1	=AH1+1	=AI1+1	=AJ1+1	=AK1+1	=AL1+1	=AM1+1	=AN1+1	=AO1+1	=AP1+1	=AQ1+1	=AR1+1	=AS1+1	=AT1+1	=AU1+1	=AV1+1	=AW1+1	=AX1+1
転記コード	分類	団体コード	年度	会計コード	会計名称	款コード	款名称	所属コード	所属部名称	所属課名称	所属係名称	項コード	項名称	目コード	目名称	大事業コード	大事業名称	中事業コード	中事業名称	小事業コード	小事業名称	施策コード	施策名称大	施策名称中	前年度最終予算額	今年度予算額	補正前予算額	今回補正額	補正後額	前々年度決算額	前年度決算額	今年度決算額	財源内訳内訳（国庫支出金）	財源内訳内訳（県支出金）	財源内訳内訳（市債）	財源内訳内訳（分担金・負担金）	財源内訳内訳（使用料・手数料）	財源内訳内訳（その他）	翌年度繰越額	目的	問題点・課題等	節コード（頭2桁）	節名称	節金額	節コード	細々節名称	細々節金額	積算内容	節金額2	細々節金額2
=D3&R3&AU3	9		R6														東総社駅前泉本線改良事業																										工事請負費	49000		工事請負費	49000		=予算!$AS3*1000	=予算!$AV3*1000
=D4&R4&AU4			R6														（仮称）神在秦本線改良事業																										工事請負費	22000		工事請負費	22000		=予算!$AS4*1000	=予算!$AV4*1000
=D5&R5&AU5	9		R6														（仮称）神在秦本線改良事業																										公有財産購入費	9200		土地購入費	9200		=予算!$AS5*1000	=予算!$AV5*1000
=D6&R6&AU6			R6														（仮称）神在秦本線改良事業																										補償，補填及び賠償金	=57000+13000		補償費	=55000+1300		=予算!$AS6*1000	=予算!$AV6*1000
=D7&R7&AU7			R6														道路改良等事業（単独分）																										工事請負費	52300		工事請負費	52300		=予算!$AS7*1000	=予算!$AV7*1000
=D8&R8&AU8			R6														都市下水路改良事業																										工事請負費	2500		工事請負費	2500		=予算!$AS8*1000	=予算!$AV8*1000
=D9&R9&AU9			R6														準用河川改修事業（国府川）																										委託料	1254		設計等委託料	1254		=予算!$AS9*1000	=予算!$AV9*1000
=D10&R10&AU10			R6														道路舗装新設等事業（単独分）																													測量等委託料	400		=予算!$AS10*1000	=予算!$AV10*1000
=D11&R11&AU11			R6														道路舗装新設当事業（単独分）																													工事請負費	10000		=予算!$AS11*1000	=予算!$AV11*1000
=D12&R12&AU12			R6														清音神在本線周辺整備事業																													工事請負費	5000		=予算!$AS12*1000	=予算!$AV12*1000
=D13&R13&AU13			R6														元町井手本線改良事業																													工事請負費	89000		=予算!$AS13*1000	=予算!$AV13*1000
=D14&R14&AU14			R6														元町井手本線改良事業																													補償費	8000		=予算!$AS14*1000	=予算!$AV14*1000
=D15&R15&AU15	9																																																=予算!$AS15*1000	=予算!$AV15*1000
=D16&R16&AU16	9	0	R6	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	3	県工事負担金	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	54200	0	67950	-15300	52650	0	0	0	0	0	0	0	0	0	0	地域の安心安全な住み良いまちづくりのため行なう事業。		18	負担金，補助及び交付金	-15300	189101	県道路工事負担金	-15300	＜２月補正＞　執行予定額　　R6負担予定額　52,409,000円　　　　　　　　R5追徴予定額　　 216,810円　差引　　-15,300,000円	=予算!$AS16*1000	=予算!$AV16*1000
=D17&R17&AU17	9	0	R6	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	15	東総社駅前泉本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	89198	0	80000	-10000	70000	0	0	0	-7700	0	-6900	0	0	0	0	泉地内から福井地内を結び，国道180号バイパスと交差する，総社市の南北を結ぶ重要な幹線道路となる。	事業地内は神明遺跡に位置するため，文化財保護法第94条に基づき発掘調査をする必要がある。大規模な道路工事となるため，事業の長期化が懸念される。	1	報酬	=1200+14553	11101	会計年度任用職員報酬	=1200+14553	＜２月補正＞　文化財調査のための必要費目への組替　1,200,000円	=予算!$AS17*1000	=予算!$AV17*1000
