年度	種別	目	大事業	細節	担当者	変更内容	入札方法	地目	国費率	移転補償種類	契約保証の種類	その他	検査員	進捗状況	道路事業費調査	経過1	経過2
未	-	道路新設改良費	河川改良事業費		-	増額変更	-	用悪水路	 1/3	-	-	ー	ー	ー	未	ー	ー
ー	A河	河川事業費	準用河川改修事業（国府川）	設計委託料	藤村	減額変更	請負随意	畑	 1/2	建物	免除	0	未	未着手	ー	未	未
R2	B河		都市下水路改良事業	工事請負費	中山	軽微変更	請負指名競争	田	－	建物以外工作物	現金	未	副検査員　安原和行	買収土地及び面積測量	R4年度作成分	無料交付起案	資料収集済
R3	C河		道路改良等事業（単独分）	工事請負費（繰越明許）	戸板	工期延期	随意契約	宅地		動産	公共工事履行保証証券による保証		副検査員　久保礼央	用地交渉及び契約	R5年度作成分	手紙一式送付	登記提出済
R4	D河		中央井手本線改良事業	土地購入費	中村	インフレスライド	指名競争入札			立竹木	前払金保証事業会社の保証		主任検査員　矢木武司	登記依頼	R6年度作成分	交付済	
R5	E河			土地購入費（繰越明許）	黒瀬	前金払後繰越	一般競争入札			仮住居等補償金	銀行等の金融機関の保証		副検査員　但野泰利	取得済	R7年度作成分		
R6	F河				清水	丸々繰越				家賃減収補償金	履行保証保険による保証		副検査員　村上敏行	測量及び境界復元	R8年度作成分		
R7	G河				和木					借家人補償金			建設部長　平田壮太朗	寄付予定			
R8	H河				石井					移転雑費				寄付済			
R9	A道									営業補償金				電柱架線等移転			
R10	B道													権利購入			
R11	C道																
R12	D道																
	E道																
	F道																
	G道																
	H道																
	単																
																	
	留意点																
	・前金払の際は設計金額欄は0で良い																
	・現年度分を丸々繰越する際は，変更欄にて「丸々繰越」を選択し，債務負担額や補助額等を「0」と入力																
																	
	・予算（コピペ）シートに「所属別事業別歳出一覧」のCSVを下に下に貼り付ける																
																	

